42.30062,-71.114
42.30252,-71.11281
42.30602,-71.11049
42.30937,-71.10839
42.3119,-71.10669
42.31552,-71.10515
42.31871,-71.10347
42.32319,-71.09979
42.32887,-71.09729
42.33005,-71.09646
42.33274,-71.09409
42.33339,-71.09323
42.34143,-71.08354
42.34653,-71.07713
42.34751,-71.0758
42.34767,-71.07408
42.34769,-71.06851
42.34784,-71.06578
42.34844,-71.06433
42.34869,-71.06411
42.35217,-71.06268
42.35331,-71.06252
42.35388,-71.06215
42.35802,-71.058
42.36055,-71.05746
42.36171,-71.05755
42.36294,-71.0578
42.36804,-71.06237
42.36961,-71.06424
42.37263,-71.06847
42.37447,-71.07205
42.37814,-71.07608
42.37952,-71.0767
42.38063,-71.07684
42.38171,-71.07689
42.38443,-71.07675
42.39157,-71.07696
42.40258,-71.07718
42.40469,-71.07708
42.4151,-71.07684
42.41954,-71.07684
42.42222,-71.07622
42.42603,-71.07467
42.43223,-71.07204
42.43398,-71.07143
42.43714,-71.07093
