route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id
CR-Needham-f107c12e-1,CR-Needham,1,Needham Heights - South Station,,3,20010106,CR-Weekday-Summer-20-7620
CR-Needham-d75ab391-1,CR-Needham,1,Needham Heights - South Station,,3,20010107,CR-Saturday-Summer-20-1618
CR-Newburyport-801f0591-0,CR-Newburyport,0,North Station - Newburyport,,1,20011000,CR-Weekday-Summer-20-159
CR-Newburyport-0d0a9699-0,CR-Newburyport,0,North Station - Rockport,,1,20011001,CR-Weekday-Summer-20-105
CR-Newburyport-4f18b08d-0,CR-Newburyport,0,North Station - Rockport,,2,20011006,CR-Weekday-Summer-20-103
CR-Newburyport-2c584948-0,CR-Newburyport,0,North Station - Newburyport,,2,20011008,CR-Weekday-Summer-20-157
CR-Newburyport-00e37a18-0,CR-Newburyport,0,North Station - Rockport,,3,20011010,CR-Weekday-Summer-20-113
CR-Newburyport-04e84ff6-0,CR-Newburyport,0,North Station - Newburyport,,3,20011012,CR-Weekday-Summer-20-153
CR-Newburyport-85f083cf-0,CR-Newburyport,0,North Station - Rockport,,3,20011013,CR-Weekday-Summer-20-7119
CR-Newburyport-cba33080-1,CR-Newburyport,1,Rockport - North Station,,1,20011100,CR-Weekday-Summer-20-108
CR-Newburyport-b2db7a26-1,CR-Newburyport,1,Newburyport - North Station,,1,20011101,CR-Weekday-Summer-20-150
CR-Newburyport-0746071c-1,CR-Newburyport,1,Newburyport - North Station,,2,20011105,CR-Weekday-Summer-20-164
CR-Newburyport-2e76e811-1,CR-Newburyport,1,Rockport - North Station,,2,20011108,CR-Weekday-Summer-20-100
CR-Newburyport-b1103993-1,CR-Newburyport,1,Rockport - North Station,,3,20011110,CR-Weekday-Summer-20-7104
CR-Newburyport-613e5434-1,CR-Newburyport,1,Newburyport - North Station,,3,20011111,CR-Weekday-Summer-20-7174
CR-Newburyport-71869efc-1,CR-Newburyport,1,Newburyport - North Station,,3,20011112,CR-Weekday-Summer-20-182
CR-Providence-dcbfc839-0,CR-Providence,0,South Station - Stoughton,,1,20012000,CR-Weekday-Summer-20-7913
CR-Providence-67882fb3-0,CR-Providence,0,South Station - Wickford Junction,,1,20012001,CR-Weekday-Summer-20-7817
CR-Providence-be01fe7b-0,CR-Providence,0,South Station - Providence,,2,20012003,CR-Weekday-Summer-20-7823
CR-Providence-30433cfb-0,CR-Providence,0,South Station - Stoughton,,3,20012007,CR-Weekday-Summer-20-7903
CR-Providence-b46f257e-0,CR-Providence,0,South Station - Providence,,3,20012009,CR-Weekday-Summer-20-807
CR-Providence-6c4fde2c-0,CR-Providence,0,South Station - Stoughton,,3,20012011,CR-Weekday-Summer-20-905
CR-Providence-f6d08640-0,CR-Providence,0,South Station - Wickford Junction,,3,20012012,CR-Weekday-Summer-20-7827
CR-Providence-1d5e8908-0,CR-Providence,0,South Station - Providence,,3,20012013,CR-Weekday-Summer-20-813
CR-Providence-4eac7bc9-0,CR-Providence,0,South Station - Wickford Junction,,3,20012014,CR-Weekday-Summer-20-801
CR-Providence-d8296c75-0,CR-Providence,0,South Station - Wickford Junction,,3,20012015,CR-Weekday-Summer-20-811
CR-Providence-a3c7ddc8-0,CR-Providence,0,Providence - Wickford Junction,,3,20012016,CR-Weekday-Summer-20-8801
CR-Providence-85d5a06c-1,CR-Providence,1,Stoughton - South Station,,1,20012100,CR-Weekday-Summer-20-7902
CR-Providence-50b7fcd9-1,CR-Providence,1,Wickford Junction - South Station,,1,20012101,CR-Weekday-Summer-20-7806
CR-Providence-ebbdd97d-1,CR-Providence,1,Providence - South Station,,2,20012103,CR-Weekday-Summer-20-7804
CR-Providence-535d4c5e-1,CR-Providence,1,Providence - South Station,,2,20012105,CR-Weekday-Summer-20-818
CR-Providence-9520a632-1,CR-Providence,1,Stoughton - South Station,,3,20012107,CR-Weekday-Summer-20-908
CR-Providence-e966b595-1,CR-Providence,1,Wickford Junction - South Station,,3,20012109,CR-Weekday-Summer-20-7800
CR-Providence-1c18962a-1,CR-Providence,1,Wickford Junction - South Station,,3,20012111,CR-Weekday-Summer-20-7830
CR-Providence-411f2e2c-1,CR-Providence,1,Wickford Junction - South Station,,3,20012112,CR-Weekday-Summer-20-822
CR-Providence-665f7f3d-1,CR-Providence,1,Stoughton - South Station,,3,20012113,CR-Weekday-Summer-20-914
CR-Providence-7304b64a-1,CR-Providence,1,Providence - South Station,,3,20012114,CR-Weekday-Summer-20-812
CR-Providence-804d6606-1,CR-Providence,1,Wickford Junction - South Station,,3,20012115,CR-Weekday-Summer-20-816
CR-Providence-e26e8bbf-1,CR-Providence,1,Stoughton - South Station,,3,20012116,CR-Weekday-Summer-20-7904
CR-Providence-00f05c39-1,CR-Providence,1,Wickford Junction - South Station,,3,20012117,CR-Weekday-Summer-20-7832
Boat-F4-0-0,Boat-F4,0,Long Wharf - Charlestown Navy Yard,,1,30001000,Boat-F4-0630-Long-Weekday
Boat-F4-0-1,Boat-F4,1,Charlestown Navy Yard - Long Wharf,,1,30001100,Boat-F4-0645-Charlestown-Weekday
Boat-F1-1-0,Boat-F1,0,Rowes Wharf - Hingham,Weekdays only,1,30002001,Boat-F1-0650-Rowes-WeekdayLimited
Boat-F1-2-0,Boat-F1,0,Long Wharf - Hingham via Hull,,2,30002002,Boat-F1-1100-Long-WeekdayLimited
Boat-F1-3-0,Boat-F1,0,Long Wharf - Hull,,2,30002003,Boat-F1-0625-Long-WeekdayLimited
Boat-F1-6-0,Boat-F1,0,Long Wharf - Hingham,,2,30002006,Boat-F1-0910-Long-WeekdayLimited
Boat-F1-1-1,Boat-F1,1,Hingham - Rowes Wharf,Weekdays only,1,30002101,Boat-F1-0600-Hingham-WeekdayLimited
Boat-F1-2-1,Boat-F1,1,Hingham - Long Wharf via Hull,,2,30002102,Boat-F1-0540-Hingham-WeekdayLimited
Boat-F1-3-1,Boat-F1,1,Hull - Long Wharf,,2,30002103,Boat-F1-0730-Hull-WeekdayLimited
Boat-F1-6-1,Boat-F1,1,Hingham - Long Wharf,,2,30002106,Boat-F1-1000-Hingham-WeekdayLimited
747-_-0,747,0,Ruggles Station - Sullivan Square Station,Weekdays only,1,40020000,45694657
747-_-1,747,1,Sullivan Square Station - Ruggles Station,Weekdays only,1,40020100,45694658
708-_-0,708,0,Andrew Station - Brookline Ave,Weekdays only,1,40030000,45694636
708-1-0,708,0,Andrew Station - Ave Louis Pasteur,Weekdays only,1,40030002,45694626
708-_-1,708,1,Brookline Ave - Andrew Station,Weekdays only,1,40030100,45694630
708-1-1,708,1,Ave Louis Pasteur - Andrew Station,Weekdays only,1,40030102,45694629
1-_-0,1,0,Nubian Station - Harvard Square,,1,50010000,45683746
1-_-1,1,1,Harvard Square - Nubian Station,,1,50010100,45683747
4-1-0,4,0,Tide St - North Station,Weekdays only,1,50040000,45694837
4-_-0,4,0,Tide St - North Station via South Station,Weekdays only,1,50040001,45694832
4-_-1,4,1,North Station - Tide St,Weekdays only,1,50040100,45694843
4-1-1,4,1,North Station - Tide St via South Station,Weekdays only,1,50040101,45694849
